movie,critics,boxoffice,rd,theaters,sentiments,user,counts,class,-1,-1
whos-crazy,77,0.003497,03/10/2017,2,-0.120732988694,0,0.375,0,-1,-1
the-other-side-of-hope,84,0.183943,12/01/2017,11,1.10419742362,7.4,0.348214285714,0,-1,-1
the-force,80,0.059912,09/22/2017,5,1.51418224183,0,2.74074074074,0,-1,-1
intent-to-destroy,75,0.02965,11/10/2017,3,0.727958412778,0,0.0580357142857,0,-1,-1
unrest,80,0.040081,09/22/2017,8,1.24315543645,9.0,1.94680851064,0,-1,-1
chapter-verse,70,0.084147,02/03/2017,5,0,0,0,0,-1,-1
heal-the-living,82,0.003176,04/14/2017,2,0.0747369318713,7.0,0.0535714285714,0,-1,-1
bombshell-the-hedy-lamarr-story,69,0.729512,11/24/2017,36,0.0,8.4,0.321428571429,0,-1,-1
oklahoma-city,74,0.0,02/03/2017,0,1.12397152249,7.2,0.748764923837,0,-1,-1
elian,66,0.0,05/12/2017,0,0.120512143612,0,0.147783251232,0,-1,-1
eagles-of-death-metal-nos-amis-our-friends,72,0.0,02/10/2017,0,0,0,0,0,-1,-1
1945,75,0.536343,11/01/2017,13,0.842642888765,6.8,0.863105549712,0,-1,-1
pearl-jam-lets-play-two,75,0.348833,09/29/2017,201,0.0,0,0.0,0,-1,-1
mother!,75,17.800004,09/15/2017,2368,1.50440970557,6.8,0.495200053706,0,-1,-1
contemporary-color,79,0.015305,03/01/2017,5,0.0341571128614,0,0.0063025210084,0,-1,-1
risk,72,0.200219,05/05/2017,45,1.06186670078,7.9,0.716793562588,0,-1,-1
felicite,75,0.012433,10/27/2017,5,7.3173387097,0,0.974025974026,0,-1,-1
from-nowhere,75,0.008109,02/17/2017,2,0,0,0,0,-1,-1
lady-macbeth,76,1.129408,07/14/2017,131,1.01095292495,7.1,0.518433179724,0,-1,-1
by-the-time-it-gets-dark,73,0.0,04/14/2017,0,0,0,0.214285714286,0,-1,-1
canners,72,0.0,03/10/2017,0,1.23019480519,0,0.357142857143,0,-1,-1
i-am-heath-ledger,68,0.0,05/03/2017,0,0.682908469602,8.7,0.19387755102,0,-1,-1
norman-the-moderate-rise-and-tragic-fall-of-a-new-york-fixer,75,3.814868,04/14/2017,373,0.0,6.5,0.0,0,-1,-1
dealt,66,0.030414,10/20/2017,10,1.67318703221,0,0.448051948052,0,-1,-1
the-shape-of-water,87,63.828652,12/01/2017,2341,0.834794038919,7.0,2.3673992674,1,5,5
dawson-city-frozen-time,85,0.132369,06/09/2017,8,0.520768307323,5.4,0.342857142857,0,-1,-1
icaros-a-vision,77,0.00551,05/19/2017,1,0,0,0.0,0,-1,-1
colossal,70,3.029287,04/07/2017,327,0.937133670719,6.2,0.113558597092,0,-1,-1
donald-cried,72,0.061406,03/03/2017,17,0.474227832943,0,0.0321428571429,0,-1,-1
the-levelling,81,0.00304,03/24/2017,4,2.31260016025,6.5,0.785714285714,0,-1,-1
prevenge,71,0.0,03/24/2017,0,1.14644278468,6.7,0.0487596236099,0,-1,-1
the-blackcoats-daughter,68,0.020435,03/31/2017,26,1.01708926629,6.6,0.111940298507,0,-1,-1
thor-ragnarok,74,315.058289,11/03/2017,4080,0.912321898549,7.7,0.0264225941423,0,-1,-1
rebels-on-pointe,72,0.015088,11/15/2017,3,0,0,0,0,-1,-1
rumble-the-indians-who-rocked-the-world,73,0.226006,07/26/2017,22,0,0,0,0,-1,-1
machines,76,0.00971,08/09/2017,1,0.94644742091,0,1.25730071034,0,-1,-1
abacus-small-enough-to-jail,73,0.113278,05/19/2017,8,0.107142857143,7.0,0.321428571429,0,-1,-1
city-of-ghosts-2017,86,0.128015,07/07/2017,18,0.985855791831,5.4,0.100583090379,0,-1,-1
novitiate,73,0.580346,10/27/2017,163,0.695088617626,7.5,0.096992481203,0,-1,-1
a-fantastic-woman,86,1.944952,11/17/2017,190,0.955340443115,6.8,2.09142857143,0,-1,-1
